DATE,GNPC96
1947-01-01,2047.193
1947-04-01,2042.283
1947-07-01,2038.031
1947-10-01,2070.361
1948-01-01,2102.422
1948-04-01,2137.588
1948-07-01,2149.832
1948-10-01,2152.212
1949-01-01,2122.155
1949-04-01,2114.592
1949-07-01,2135.924
1949-10-01,2116.996
1950-01-01,2200.486
1950-04-01,2267.939
1950-07-01,2357.356
1950-10-01,2402.175
1951-01-01,2434.006
1951-04-01,2478.324
1951-07-01,2529.75
1951-10-01,2536.225
1952-01-01,2562.152
1952-04-01,2567.729
1952-07-01,2585.853
1952-10-01,2669.948
1953-01-01,2719.023
1953-04-01,2740.874
1953-07-01,2723.778
1953-10-01,2682.814
1954-01-01,2671.212
1954-04-01,2674.022
1954-07-01,2704.251
1954-10-01,2758.872
1955-01-01,2837.547
1955-04-01,2883.116
1955-07-01,2922.004
1955-10-01,2939.847
1956-01-01,2930.56
1956-04-01,2954.398
1956-07-01,2952.243
1956-10-01,2997.962
1957-01-01,3020.301
1957-04-01,3015.357
1957-07-01,3043.696
1957-10-01,3007.9
1958-01-01,2930.744
1958-04-01,2950.183
1958-07-01,3017.372
1958-10-01,3087.296
1959-01-01,3146.095
1959-04-01,3216.638
1959-07-01,3220.247
1959-10-01,3230.55
1960-01-01,3301.939
1960-04-01,3284.696
1960-07-01,3301.541
1960-10-01,3260.618
1961-01-01,3283.763
1961-04-01,3337.907
1961-07-01,3402.053
1961-10-01,3468.838
1962-01-01,3530.135
1962-04-01,3564.074
1962-07-01,3607.798
1962-10-01,3623.379
1963-01-01,3661.232
1963-04-01,3700.966
1963-07-01,3782.243
1963-10-01,3807.739
1964-01-01,3889.944
1964-04-01,3930.759
1964-07-01,3992.606
1964-10-01,4002.691
1965-01-01,4102.726
1965-04-01,4155.199
1965-07-01,4244.519
1965-10-01,4338.81
1966-01-01,4444.706
1966-04-01,4459.839
1966-07-01,4496.697
1966-10-01,4534.645
1967-01-01,4574.166
1967-04-01,4576.112
1967-07-01,4622.131
1967-10-01,4655.821
1968-01-01,4750.935
1968-04-01,4830.428
1968-07-01,4868.587
1968-10-01,4887.355
1969-01-01,4963.465
1969-04-01,4977.215
1969-07-01,5008.427
1969-10-01,4984.136
1970-01-01,4977.601
1970-04-01,4985.699
1970-07-01,5030.876
1970-10-01,4974.557
1971-01-01,5114.362
1971-04-01,5143.784
1971-07-01,5182.241
1971-10-01,5196.204
1972-01-01,5292.649
1972-04-01,5411.369
1972-07-01,5465.181
1972-10-01,5555.802
1973-01-01,5698.407
1973-04-01,5762.983
1973-07-01,5741.002
1973-10-01,5795.368
1974-01-01,5756.016
1974-04-01,5765.913
1974-07-01,5706.245
